::1 - [27/February/2014 11:31:47] /Battle/player/player_admin.php Mozilla/5.0 (Windows NT 6.3; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0
::1 - [27/February/2014 11:32:35] /Battle/player/player_admin.php Mozilla/5.0 (Windows NT 6.3; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0
::1 - [27/February/2014 11:35:49] /Battle/player/player_admin.php Mozilla/5.0 (Windows NT 6.3; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0
::1 - [27/February/2014 11:37:00] /Battle/player/player_admin.php Mozilla/5.0 (Windows NT 6.3; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0
::1 - [27/February/2014 11:37:11] /Battle/player/player_admin.php Mozilla/5.0 (Windows NT 6.3; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0
::1 - [27/February/2014 11:38:13] /Battle/player/player_admin.php Mozilla/5.0 (Windows NT 6.3; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0
::1 - [27/February/2014 11:39:42] /Battle/player/player_admin.php Mozilla/5.0 (Windows NT 6.3; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0
::1 - [27/February/2014 11:39:56] /Battle/player/player_admin.php Mozilla/5.0 (Windows NT 6.3; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0
::1 - [27/February/2014 11:46:21] /Battle/player/player_admin.php Mozilla/5.0 (Windows NT 6.3; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0
::1 - [27/February/2014 11:47:23] /Battle/player/player_admin.php Mozilla/5.0 (Windows NT 6.3; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0
::1 - [27/February/2014 11:49:23] /Battle/player/player_admin.php Mozilla/5.0 (Windows NT 6.3; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0
::1 - [27/February/2014 11:50:06] /Battle/player/player_admin.php Mozilla/5.0 (Windows NT 6.3; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0
::1 - [27/February/2014 11:51:46] /Battle/player/player_admin.php Mozilla/5.0 (Windows NT 6.3; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0
::1 - [27/February/2014 11:51:56] /Battle/player/player_admin.php Mozilla/5.0 (Windows NT 6.3; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0
::1 - [27/February/2014 11:56:09] /Battle/player/player_admin.php Mozilla/5.0 (Windows NT 6.3; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0
::1 - [27/February/2014 11:57:56] /Battle/player/player_admin.php Mozilla/5.0 (Windows NT 6.3; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0
::1 - [27/February/2014 11:58:07] /Battle/player/player_admin.php Mozilla/5.0 (Windows NT 6.3; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0
::1 - [27/February/2014 11:58:23] /Battle/player/player_admin.php Mozilla/5.0 (Windows NT 6.3; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0
::1 - [27/February/2014 11:58:29] /Battle/player/player_admin.php Mozilla/5.0 (Windows NT 6.3; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0
::1 - [27/February/2014 11:58:35] /Battle/player/player_admin.php Mozilla/5.0 (Windows NT 6.3; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0
::1 - [27/February/2014 11:58:39] /Battle/player/player_admin.php Mozilla/5.0 (Windows NT 6.3; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0
